Caption / Title,Item ID,Digital Image ID,Digital Image Source ID,Series ID,Series Title,Coverage Temporal,Coverage Place,Creating Agency ID,Creating Agency Title
Correspondence between The Brisbane Electorate Recruiting Committee and the Police Department including a refusal to permit a proposed procession of women to follow the ordinary procession on 8-Hour Day 3 May 1917 - 21 May 1917,ITM2041161,DR25146,https://www.archivessearch.qld.gov.au/api/download_file/DR25146 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence between the Crown Solicitor Police Department and Home Secretarys Office about the instructions to police when posted at the Government Printing Office 27 November 1917 to 3 December 1918,ITM2125355,DR26743,https://www.archivessearch.qld.gov.au/api/download_file/DR26743 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence between the Daily Chronicle London and the Chiefs Secretarys Office regarding a New Year message to the British public through the newspaper The Daily Chronicle 31 December 1914 to 6 January 1915,ITM2119784,DR26712,https://www.archivessearch.qld.gov.au/api/download_file/DR26712 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence between the Department of Public Instruction and Donald Campbell about his transfer from Loch Lomond School to Central Technical College Brisbane 1 October 1919 to 9 January 1920,ITM2123884,DR26725,https://www.archivessearch.qld.gov.au/api/download_file/DR26725 ,S6477,General Correspondence,1910 to 1919,Brisbane City,A32,Public Instruction Department
Correspondence between the Department of Public Lands and the Private Secretarys Office of the Governor about the of resumption of lands at Atherton for the purpose of Soldier Settlements 20 December 1918 to 15 April 1919,ITM2125360,DR26748,https://www.archivessearch.qld.gov.au/api/download_file/DR26748 ,S1139,Official Correspondence,1910 to 1919,Tablelands Region,A910,Office of the Governor of Queensland
Correspondence between the Governor of Queensland Sir H.J. Goold-Adams and George Simpson about his invention for destroying Zeppelins 19 May 1917 to 11 June 1917,ITM2184768,DR27302,https://www.archivessearch.qld.gov.au/api/download_file/DR27302 ,S1139,Official Correspondence,1910 to 1919,Queensland,A910,Office of the Governor of Queensland
Correspondence between the Hon. Secretary of the Anti Conscription Campaign Committee and the Police Department about permission to hold a public meeting and procession 15 December 1917 to 18 December 1917,ITM2038919,DR25120,https://www.archivessearch.qld.gov.au/api/download_file/DR25120 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence between the national Party and the Queensland police Department about a meeting in connection with the 1917 conscription referendum 10 December 1917- 12 December 1917,ITM2038917,DR25118,https://www.archivessearch.qld.gov.au/api/download_file/DR25118 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence between the Premier of Queensland and the Prime Minister of Australia regarding a method of dealing with claims for war pensions 19 March 1915 to 4 May 1915,ITM2046861,DR25277,https://www.archivessearch.qld.gov.au/api/download_file/DR25277 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence between the Prime Minister of Australia the Premier of Queensland and Mr W. W. Wood about the best way for private individuals to send comforts to acquaintances at the Front 4 February 1915 - 11 March 1915,ITM2046864,DR25280,https://www.archivessearch.qld.gov.au/api/download_file/DR25280 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence between the Queensland Recruiting Committee and the Chief Secretarys Office about the proposed recruiting meetings to be held in Brisbane in November 23 October 1915 to 3 November 1915,ITM2041793,DR25171,https://www.archivessearch.qld.gov.au/api/download_file/DR25171 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,A112,Chief Secretarys Department
Correspondence between the Queensland Recruiting Committee and the Chief Secretarys Office about the purchase of a moving picture depicting camp life in Queensland 13 October 1915 to 2 November 1915,ITM2041816,DR25193,https://www.archivessearch.qld.gov.au/api/download_file/DR25193 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Correspondence between the secretary of The Returned Sailors and Soldiers Imperial League of Australia and the Police Department about permission to hold a torchlight procession 11 December 1917 - 14 December 1917,ITM2038918,DR25119,https://www.archivessearch.qld.gov.au/api/download_file/DR25119  ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Correspondence conveying the resolution of the Australian natives Association Queensland about the victory over Bulgaria 9 October 1918 to 1 March 1919,ITM2131417,DR26785,https://www.archivessearch.qld.gov.au/api/download_file/DR26785 ,S1139,Official Correspondence,1910 to 1919,Queensland,A910,Office of the Governor of Queensland
Correspondence from Australian Air Squadrons Fund and Malayan Air Squadrons Fund in regards to the One Pound Victory Battleplane Appeal 4 May 1918 to 7 June 1918,ITM2111949,DR26625,https://www.archivessearch.qld.gov.au/api/download_file/DR26625 ,S1139,Official Correspondence,1910 to 1919,Queensland,A910,Office of the Governor of Queensland
