Caption / Title,Item ID,Digital Image ID,Digital Image Source ID,Series ID,Series Title,Coverage Temporal,Coverage Place,Creating Agency ID,Creating Agency Title
Letter from the University of Queensland Senate to the Chief Secretary Brisbane regarding a resolution passed about enemy aliens and disloyal persons of enemy origin 26 February 1916,ITM2135936,DR26893,https://www.archivessearch.qld.gov.au/api/download_file/DR26893 ,S5402,Inwards and General Correspondence,1910 to 1919,Brisbane City,A112,Chief Secretarys Department
Letter of thanks and receipt for donation from Belgian Legation to the Agent General for Queensland Hon T. R. Robinson 26 November 1914 to 27 November 1914,ITM2046843,DR25269,https://www.archivessearch.qld.gov.au/api/download_file/DR25269 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Letter to Acting Premier of Queensland the Hon J.M. Hunter from H.F. Hardacre Minister for Education detailing his proposal made in consultation with Mr Finlayson  and Mr Kirwan about the scheme for developing a public square Anzac Square 19 May 1917,ITM2053998,DR25855,https://www.archivessearch.qld.gov.au/api/download_file/DR25855 ,S17925,Reserve Files,1910 to 1919,Brisbane City,A18,Lands Department
Letter to Acting Under Secretary from Brisbane Newspaper Company Limited Courier regarding donating money received through Courier Patriotic Fund to help the distressed ones in Poland 9 June 1915,ITM1994558,DR24661,https://www.archivessearch.qld.gov.au/api/download_file/DR24661 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,An/a,n/a
Letter to and reply from the Licensing Inspector regarding a complaint about some hotels in Brisbane trading on Anzac Day 23 April 1928 to 26 April 1928,ITM2148286,DR26997,https://www.archivessearch.qld.gov.au/api/download_file/DR26997 ,S16865,General Correspondence,1920 to 1929,Brisbane City,A1521,Police Department Police Service Commissioners Office
Letter to Chief Secretarys Office with translation of cipher message from the Prime Minister of the Commonwealth instructing that German Officers and Army Reservists are to be detained as prisoners of war 10 August 1914,ITM1999833,DR25101,https://www.archivessearch.qld.gov.au/api/download_file/DR25101 ,S16865,General Correspondence,1910 to 1919,Queensland,A1521,Police Department Police Service Commissioners Office
Letter to Chief Secretarys Office Brisbane from Department of Public Instruction regarding inclusion of Ashmead Bartletts description of the landing of Australian troops at the Dardanelles in the Education Offcie Gazette 19 May 1915 to 24 May 1915,ITM2109303,DR26152,https://www.archivessearch.qld.gov.au/api/download_file/DR26152 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,An/a,n/a
Letter to Chief Secretarys Office Brisbane from the Office of the  Commissioner for Railways Brisbane responding to requests for Germans naturlalised or not that are employed in the Railways Department 18 January 1916,ITM2135937,DR26894,https://www.archivessearch.qld.gov.au/api/download_file/DR26894 ,S5402,Inwards and General Correspondence,1910 to 1919,Brisbane City,A112,Chief Secretarys Department
Letter to Major Mailer Headquarters Brisbane from the Assistant Director of Railway Transport requesting the proposed date for sending the Light Horse to Sydney 23 November 1914,ITM2148297,DR27015,https://www.archivessearch.qld.gov.au/api/download_file/DR27015 ,S9790,Hard Batch Series,1910 to 1919,Queensland,A366,Railway Department
Letter to Major W. Mailer from the Assistant Director of Railway Transport outlining the corrected times for the special trains taking troops from Enoggera to Pinkenba 23 September 1914,ITM2148289,DR27007,https://www.archivessearch.qld.gov.au/api/download_file/DR27007 ,S9790,Hard Batch Series,1910 to 1919,Queensland,A366,Railway Department
Letter to Mr D. Denham Premier of Queensland from Lieutenant-Governor of Queensland Arthur Morgan relaying the telegraphic message from the Governor General of Australia about war breaking out between Great Britain and Germany 5 August 1914,ITM2120791,DR26717,https://www.archivessearch.qld.gov.au/api/download_file/DR26717 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Letter to Mr Denham Premier of Queensland from Commander C. Burford of the Royal Australian navy regarding the successful completion of fitting out of ships for transporting Australian troops for the Expeditionary Force 28 September 1914,ITM1988389,DR24561,https://www.archivessearch.qld.gov.au/api/download_file/DR24561 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,A112,Chief Secretarys Department
Letter to Mr E.G. Theodore M.L.A. from J.C. Lamont regarding the closure of Irvinebank Co works at Koorboora 12 August 1914,ITM1999815,DR24867,https://www.archivessearch.qld.gov.au/api/download_file/DR24867 ,S8400,Special Batches,1910 to 1919,Tablelands Region,A123,Home Secretarys Office
Letter to Mr E.M. Land M.L.A from Mr J.D. Storey Department of Public Instruction about the number of German schools in Queensland 6 November 1916,ITM2036412,DR25107,https://www.archivessearch.qld.gov.au/api/download_file/DR25107 ,S6477,General Correspondence,1910 to 1919,Queensland,A32,Public Instruction Department
Letter to Mr James from the Secretary of the Queensland War Council explaining the scheme for providing homes for T.B. ex sailors and soldiers 17 March 1932,ITM2105352,DR26096,https://www.archivessearch.qld.gov.au/api/download_file/DR26096 ,S6773,Anzac Workers Committee Correspondence,1930 to 1939,Queensland,A1674,Queensland War Council
Letter to Mr Sadler from M. Wood about the fencing of an Anzac Cottage called Kitchener Cottage 6 January 1918,ITM2105345,DR26089,https://www.archivessearch.qld.gov.au/api/download_file/DR26089 ,S6773,Anzac Workers Committee Correspondence,1910 to 1919,Brisbane City,A1674,Queensland War Council
Letter to Mr Steer Assistant Director of Railway Transport from the Central Traffic Manager Queensland Railways advising details of the accommodation on the special trains conveying troops from Enoggera to Wallangarra 21 November 1914,ITM2148298,DR27016,https://www.archivessearch.qld.gov.au/api/download_file/DR27016 ,S9790,Hard Batch Series,1910 to 1919,Brisbane City,A366,Railway Department
Letter to Premier T. J. Ryan from the Prime Minister W. M. Hughes about the disturbances at Rockhampton meetings 12 December 1917,ITM2131412,DR26780,https://www.archivessearch.qld.gov.au/api/download_file/DR26780 ,S5263,General Correspondence,1910 to 1919,Rockhampton Region,A123,Home Secretarys Office
Letter to Premiers Office from the Returned Sailors and Soldiers Imperial Legaue of Australia explaining the purpose of the organisation 4 December 1916,ITM2161322,DR27290,https://www.archivessearch.qld.gov.au/api/download_file/DR27290 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Letter to the  Governor of Queensland from the Secretary of State for the Colonies providing a list of merchant vessels armed with guns 24 August 1915,ITM2043638,DR25249,https://www.archivessearch.qld.gov.au/api/download_file/DR25249 ,S1139,Official Correspondence,1910 to 1919,Queensland,A910,Office of the Governor of Queensland
Letter to the  Governor of Queensland from the Secretary of State for the Colonies providing copies of two pamphlets which were issued by the Parliamentary Recruiting Committee 23 August 1915,ITM2043637,DR25248,https://www.archivessearch.qld.gov.au/api/download_file/DR25248 ,S1139,Official Correspondence,1910 to 1919,Queensland,A910,Office of the Governor of Queensland
Letter to the  Inspector of Police reporting on the anti-conscription meeting held in the Domain 12 November 1917,ITM2038915,DR25116,https://www.archivessearch.qld.gov.au/api/download_file/DR25116 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Letter to the Acting Chief Secretary Brisbane from Lieutenant-Governor of Queensland Arthur Morgan relaying the telegraphic message from the Governor General of Australia about war breaking out between Great Britain and Austro Hungary 14 August 1914,ITM2123880,DR26721,https://www.archivessearch.qld.gov.au/api/download_file/DR26721 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Letter to the Assistant Director of Railway Transport from Major W. Mailer outlining the requirements needed for transporting troops and their kits to Pinkenba 21 September 1914,ITM2148290,DR27008,https://www.archivessearch.qld.gov.au/api/download_file/DR27008 ,S9790,Hard Batch Series,1910 to 1919,Queensland,A366,Railway Department
Letter to the Chief Secretaruy from the Agent General London about wounded Queenslanders in Winwick and Crumpsall Union Hospitals 20 May 1915,ITM2109113,DR26148,https://www.archivessearch.qld.gov.au/api/download_file/DR26148 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,An/a,n/a
Letter to the Chief Secretary about a memorandum from T.J. Whittington Acting Director of Intelligence Bureau and a newspaper article The Bringing Kultur to Australia in the Daily Mirror 5 January 1915 to 21 January 1915,ITM2119785,DR26713,https://www.archivessearch.qld.gov.au/api/download_file/DR26713 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Letter to the Chief Secretary from German resident P. Sinnell about the use of rifles and a letter of advice from District Commandant Major Wallace Brown 1st Military District 22 December 1914 to 22 January 1915,ITM2046871,DR25287,https://www.archivessearch.qld.gov.au/api/download_file/DR25287 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Letter to the Chief Secretarys Department from the Office of the Commissioner for Railways enclosing letter from E. Sachs & Co. Limited about request for free conveyance of a donation of timber 21 August 1917 to 22 August 1917,ITM2182272,DR27295,https://www.archivessearch.qld.gov.au/api/download_file/DR27295 ,S9790,Hard Batch Series,1910 to 1919,Brisbane City,A366,Railway Department
Letter to the Chief Secretarys Office about an application for Commission of Peace for Canon David John Garland for the purpose of swearing in recruits 10 November 1915 to 17 November 1915,ITM2148274,DR26984,https://www.archivessearch.qld.gov.au/api/download_file/DR26984 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Letter to the Chief Secretarys Office from Isobel Scarth offering proceeds of a raffle that she her sister conducted to raise funds for wounded soldiers 4 October 1915,ITM2041792,DR25170,https://www.archivessearch.qld.gov.au/api/download_file/DR25170 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Letter to The Chief Secretarys Office from Mr A. Carr regarding the obligation for Military Service 7 January 1915 to 18 January 1915,ITM2123883,DR26724,https://www.archivessearch.qld.gov.au/api/download_file/DR26724,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Letter to the Chief Secretarys Office from the Department of Justice enclosing the Patriotic Funds Administration Act of 1915 15 November 1915 - 17 November 1915,ITM2148276,DR26986,https://www.archivessearch.qld.gov.au/api/download_file/DR26986 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Letter to the Chief Secretarys Office from the Shire Clerk of Miriam Vale Shire Council about Wilhelm H. Teschs suitability in the role of Justice of the Peace 19 January 1918 to 24 January 1918,ITM2148248,DR26958,https://www.archivessearch.qld.gov.au/api/download_file/DR26958 ,S5402,Inwards and General Correspondence,1910 to 1919,Gladstone Region,A112,Chief Secretarys Department
Letter to The Commandant 1st Military District from the Police Commissioner providing lists of members of the Police Force who left service to go to the Front 4 September 1916,ITM2139939,DR26931,https://www.archivessearch.qld.gov.au/api/download_file/DR26931 ,S16865,General Correspondence,1910 to 1919,Queensland,A1521,Police Department Police Service Commissioners Office
Letter to the Commisioner of Police from Commonwealth Military Forces Headquarters about the treatment of Bulgarian subjects and includes a list of Bulgarian residents in Queensland 10 November 1915,ITM2131399,DR26771,https://www.archivessearch.qld.gov.au/api/download_file/DR26771 ,S16865,General Correspondence,1910 to 1919,Queensland,A1521,Police Department Police Service Commissioners Office
Letter to the Commisioner of Police from the Under Secretary of the Home Secretarys Office Brisbane about departments refraining to purchase of goods from firms on the proclaimed enemy firms list 2 February 1916,ITM2131398,DR26770,https://www.archivessearch.qld.gov.au/api/download_file/DR26770 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Letter to the Commisioner of Police from the Under Secretary of the Home Secretarys Office Brisbane about the Cabinet deciision regarding the employment of people of German or Austrian birth in a State Department 21 January 1916,ITM2131396,DR26768,https://www.archivessearch.qld.gov.au/api/download_file/DR26768 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Letter to the Commisioner of Police from the Under Secretary of the Home Secretarys Office Brisbane about the transferiing of police officers to areas where there is a predominnce of German or Austrian residents 6 March 1916 to 14 March 1916,ITM2131395,DR26767,https://www.archivessearch.qld.gov.au/api/download_file/DR26767 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Letter to the Commissioner of Police from Bella Ryan requesting help in securing a position as a nurse during the First World War 3 September 1914,ITM2187872,DR27325,https://www.archivessearch.qld.gov.au/api/download_file/DR27325 ,S16865,General Correspondence,1910 to 1919,Winton Shire,A1521,Police Department Police Service Commissioners Office
Letter to the Commissioner of Police from Canon F. de Witt Batty inviting the Commissioner to attend the Anzac Day service at the cathedral and asking for police assistance with crowds 21 April 1918,ITM2148280,DR26991,https://www.archivessearch.qld.gov.au/api/download_file/DR26991 ,S16865,General Correspondence,1910 to 1919,Queensland,A1521,Police Department Police Service Commissioners Office
Letter to the Commissioner of Police from Mr. C. Lloyd Apjohn volunteering his services and his auxiliary boat for the First World War 9 August 1914 to 10 August 1914,ITM2187873,DR27326,https://www.archivessearch.qld.gov.au/api/download_file/DR27326 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Letter to the Commissioner of Police from the Colonel Commandant 1st military district asking for police assistance in guarding the ports of Gladstone Port Alma Townsville and Cairns 29 Septemebr 1915,ITM2148270,DR26980,https://www.archivessearch.qld.gov.au/api/download_file/DR26980 ,S16865,General Correspondence,1910 to 1919,Gladstone Region,A1521,Police Department Police Service Commissioners Office
Letter to the Commissioner of Police from the Commonwealth Military Forces requesting traffic control while Australian Troops march though Brisbane City 12 November 1915,ITM1834915,DR24036,https://www.archivessearch.qld.gov.au/api/download_file/DR24036 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Letter to the Commissioner of Police from the Deputy Assistant Quartermaster-General regarding the embarkation of troops at Pinkenba aboard H.M.A. Transport A.11 Ascanius 20 May 1915,ITM2193994,DR27352,https://www.archivessearch.qld.gov.au/api/download_file/DR27352 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Letter to the Commissioner of Police from the Deputy Assistant Quartermaster-General regarding the embarkation of troops at Pinkenba aboard H.M.A. Transport A.7 Medic  2 June 1915,ITM2193993,DR27351,https://www.archivessearch.qld.gov.au/api/download_file/DR27351 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Letter to the Commissioner of Police from the Deputy Assistant Quartermaster-General regarding the embarkation of troops at Pinkenba aboard the Transport A.53 Itria 8 February 1915,ITM2193998,DR27356,https://www.archivessearch.qld.gov.au/api/download_file/DR27356 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Letter to the Commissioner of Police from the Deputy Assistant Quartermaster-General regarding the embarkation of troops at Pinkenba aboard the Transports A.48 Seang Bee and A. 49 Seang Choon 11 February 1915,ITM2193997,DR27355,https://www.archivessearch.qld.gov.au/api/download_file/DR27355,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Letter to the Commissioner of Police from the Secretary of The Automobile Club of Queensland regarding the Grand Patriotic Motor Gymkhana 2 March 1916,ITM2131419,DR26787,https://www.archivessearch.qld.gov.au/api/download_file/DR26787 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Letter to the Commissioner of Police from the Under Secretary of the Chief Secretarys Office regarding notifying residents about war census returns 16 September 1915,ITM2161240,DR27276,https://www.archivessearch.qld.gov.au/api/download_file/DR27276 ,S16865,General Correspondence,1910 to 1919,Queensland,A1521,Police Department Police Service Commissioners Office
Letter to the Commissioner of Police from the Under Secretary of the Home Secretarys Office advising that leave will be granted to all Public Servants who desire to attend Memorial Services on Anzac Day 24 April 1918,ITM2148281,DR26992,https://www.archivessearch.qld.gov.au/api/download_file/DR26992 ,S16865,General Correspondence,1910 to 1919,Queensland,A1521,Police Department Police Service Commissioners Office
Letter to the Commissioner of Police from the Under Secretary of the Home Secretarys Office advising that Returned Soldiers working in the Public Service may be allowed time off to attend Anzac Day church services and the parade 21 April 1917,ITM2148283,DR26994,https://www.archivessearch.qld.gov.au/api/download_file/DR26994 ,S16865,General Correspondence,1910 to 1919,Queensland,A1521,Police Department Police Service Commissioners Office
Letter to the Commissioner of Police from the Under Secretary of the Home Secretarys Office regarding holiday and pay conditions for State employees for Anzac Day in 1929 8 April 1929,ITM2148287,DR26998,https://www.archivessearch.qld.gov.au/api/download_file/DR26998 ,S16865,General Correspondence,1920 to 1929,Queensland,A1521,Police Department Police Service Commissioners Office
Letter to the Commissioner of Police Brisbane from Major Wallace Brown 1st Military District enclosing a list of Austrian Hungarian subjects residing in Queensland 14 August 1914,ITM2140144,DR26944,https://www.archivessearch.qld.gov.au/api/download_file/DR26944 ,S16865,General Correspondence,1910 to 1919,Queensland,A1521,Police Department Police Service Commissioners Office
Letter to the Commissioner of Police Brisbane from the Sub Inspector of Police Charleville explaining that the tracker Billy has joined the Expeditionary Force 10 September 1915,ITM2250849,DR28605,https://www.archivessearch.qld.gov.au/api/download_file/DR28605 ,S16865,General Correspondence,1910 to 1919,Murweh Shire,A1521,Police Department Police Service Commissioners Office
Letter to the Commissioner of Police Brisbane regarding rumours of disloyalty and overbearing manner of enemy subjects 16 August 1915,ITM1999834,DR25102,https://www.archivessearch.qld.gov.au/api/download_file/DR25102 ,S16865,General Correspondence,1910 to 1919,South East Queensland,A1521,Police Department Police Service Commissioners Office
Letter to the Commissioner of Railways from the Deputy Postmaster-General advising of reduced postage costs to Australian troops 22 October 1915,ITM2187880,DR27333,https://www.archivessearch.qld.gov.au/api/download_file/DR27333 ,S9790,Hard Batch Series,1910 to 1919,Queensland,A366,Railway Department
Letter to the D A A G 1st Military District Victoria Barracks from the Commissioner of Police notifying that he will make arrangements for the control of traffic during the march 12 November 1915,ITM1834918,DR24039,https://www.archivessearch.qld.gov.au/api/download_file/DR24039 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Letter to the Department of Justice and reply from the Crown Solicitor to the Hon Secretary of the Queensland War Council regarding funds collected for repatriation purposes 12 March 1918 to 20 March 1918,ITM1839187,DR24652,https://www.archivessearch.qld.gov.au/api/download_file/DR24652 ,S16753,Queensland War Council Miscellaneous Files,1910 to 1919,Queensland,A1674,Queensland War Council
Letter to the Department of Public Lands from the Office of the Commissioner for Railways about the cost to survey allotment 2 section 26 North Brisbane 30 March 1938,ITM2057093,DR25870,https://www.archivessearch.qld.gov.au/api/download_file/DR25870 ,S17925,Reserve Files,1930 to 1939,Brisbane City,A18,Lands Department
Letter to the Deputy Commissioner Department of Repatriation from the Under Secretary of the Home Secretarys Office Brisbane about the proposed agreement concerning treatment of discharged soldiers at Brisbane Hospital to Rosemount 2 December 1920,ITM2105356,DR26100,https://www.archivessearch.qld.gov.au/api/download_file/DR26100 ,S8400,Special Batches,1920 to 1929,Sunshine Coast Region,A123,Home Secretarys Office
Letter to the General Traffic Superintendent Railway Commissioners Office Brisbane from the General Traffic Manager Townsville enclosing a list of employees called for military duty 17 August 1914,ITM2148293,DR27011,https://www.archivessearch.qld.gov.au/api/download_file/DR27011 ,S9790,Hard Batch Series,1910 to 1919,Townsville City,A366,Railway Department
Letter to the Governor of Queensland from The Empire Patriotic League containing a duplicate of Citizens Patriotic Memorials 27 December 1914 to 11 January 1915,ITM2046881,DR25296,https://www.archivessearch.qld.gov.au/api/download_file/DR25296 ,S1139,Official Correspondence,1910 to 1919,Queensland,A910,Office of the Governor of Queensland
Letter to the Governor of Queensland from the Governor-General of Australia relating the Kings wishes for his birthday and accession celebrations 14 August 1915,ITM2043633,DR25245,https://www.archivessearch.qld.gov.au/api/download_file/DR25245 ,S1139,Official Correspondence,1910 to 1919,Queensland,A910,Office of the Governor of Queensland
Letter to the Governor of Queensland from the Home Secretarys Office Brisbane providing information on the cases of members of the Australian Imperial Forces who have been admitted to Goodna Asylum 3 January 1917 - 9 January 1917,ITM2111936,DR26613,https://www.archivessearch.qld.gov.au/api/download_file/DR26613 ,S1139,Official Correspondence,1910 to 1919,Ipswich City,A910,Office of the Governor of Queensland
Letter to the Governor of Queensland from the Secretary of State for the Colonies about the disposal of frozen meat not required by the troops 25 May 1915 to 9 June 1915,ITM2046825,DR25253,https://www.archivessearch.qld.gov.au/api/download_file/DR25253 ,S1139,Official Correspondence,1910 to 1919,Queensland,A910,Office of the Governor of Queensland
Letter to the Governor of Queensland from the Secretary of State for the Colonies noting the valuable service of Sir T. Robinson in connection with the purchase and distribution of frozen meat 4 June 1915,ITM2046824,DR25252,https://www.archivessearch.qld.gov.au/api/download_file/DR25252 ,S1139,Official Correspondence,1910 to 1919,Queensland,A910,Office of the Governor of Queensland
Letter to the Governor of Queensland Sir H.J. Goold- Adams from the Joint Council of the Order of St. John and the Red Cross about the Our Day appeal 24 March 1919 to 3 June 1920,ITM2184767,DR27301,https://www.archivessearch.qld.gov.au/api/download_file/DR27301 ,S1139,Official Correspondence,Various decades,Queensland,A910,Office of the Governor of Queensland
Letter to the Hon A. J. Jones MLA and the Military Commandant from the Chief Secretarys Office Brisbane regarding the representation by a government official to welcome returning soldiers 31 January 1920,ITM2107266,DR26123,https://www.archivessearch.qld.gov.au/api/download_file/DR26123 ,S5384,Batch and Miscellaneous Subject Files,1920 to 1929,Queensland,An/a,n/a
Letter to the Immigration Agent Brisbane from the Department of Repatriation Queensland Branch containing a list of soldiers dependents aboard SS Hobsons Bay and Sophocles 27 March 1922,ITM2048518,DR25532,https://www.archivessearch.qld.gov.au/api/download_file/DR25532 ,S13090,Dossiers on Assisted Immigrants,1920 to 1929,Queensland,A1514,Immigration Department
Letter to the Inspector of Police reporting on the Reinforcement Referendum Campaign meeting held in the Exhibition Hall Brisbane addressed by Hon W.M. Hughes Prime Minister of Australia 28 November 1917,ITM2039070,DR25122,https://www.archivessearch.qld.gov.au/api/download_file/DR25122 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Letter to the Inspector of Police reporting on the meeting held in the Exhibition Hall Brisbane addressed by Sir William Irvine  Includes advertising flyer,ITM2038914,DR25115,https://www.archivessearch.qld.gov.au/api/download_file/DR25115 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Letter to the Licensing Inspector from Constable Hegarty reporting on the complaint made by Mr Joseph Lundie regarding sly-grog selling in the Military Camp at Enoggera 5 May 1915,ITM1834912,DR24033,https://www.archivessearch.qld.gov.au/api/download_file/DR24033 ,S16865,General Correspondence,1910 to 1919,Brisbane City,A1521,Police Department Police Service Commissioners Office
Letter to the Premier and Chief Secretary of Queensland from the Governor of Queensland conveying message from the King of England 25 October 1915,ITM2041791,DR25169,https://www.archivessearch.qld.gov.au/api/download_file/DR25169 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Letter to the Premier from A. Growder complaining about his German tenant at Mt. Bauple 1 December 1915 to 13 December 1915,ITM2148250,DR26960,https://www.archivessearch.qld.gov.au/api/download_file/DR26960 ,S5402,Inwards and General Correspondence,1910 to 1919,Fraser Coast Region,A112,Chief Secretarys Department
Letter to the Premier Hon T.J. Ryan from W.F. Finlayson requesting his consideration of the matter of a public square in Brisbane 2 September 1915,ITM2054005,DR25859,https://www.archivessearch.qld.gov.au/api/download_file/DR25859 ,S17925,Reserve Files,1910 to 1919,Brisbane City,A18,Lands Department
Letter to the Premier of Queensland from Commandant 1st Military District Headquarters Brisbane advising the arrival of approximately 160 returned invalid soldiers 19 November 1917,ITM2107285,DR26142,https://www.archivessearch.qld.gov.au/api/download_file/DR26142 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,An/a,n/a
Letter to the Premier of Queensland from Commandant 1st Military District Headquarters Brisbane advising the arrival of approximately 398 returned invalid soldiers 28 September 1917,ITM2109107,DR26143,https://www.archivessearch.qld.gov.au/api/download_file/DR26143 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,An/a,n/a
Letter to the Premier of Queensland from Commandant 1st Military District Headquarters Brisbane advising the arrival of returned invalid soldiers from Gallipoli 14 September 1915,ITM2109112,DR26147,https://www.archivessearch.qld.gov.au/api/download_file/DR26147 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,An/a,n/a
Letter to the Premier of Queensland from Commandant 1st Military District Headquarters Brisbane advising the arrival of returned invalid soldiers from Gallipoli 27 November 1915,ITM2109110,DR26146,https://www.archivessearch.qld.gov.au/api/download_file/DR26146 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,An/a,n/a
Letter to the Premier of Queensland from Eugen Hirschfeld informing the Premier of his resignation from the Legislative Council and reply from Premier Denham to Dr Eugen Hirschfeld 31 October 1914 - 2 November 1914,ITM2131406,DR26774,https://www.archivessearch.qld.gov.au/api/download_file/DR26774 ,S5402,Inwards and General Correspondence,1910 to 1919,Brisbane City,A112,Chief Secretarys Department
Letter to the Premier of Queensland from interned alien Alexander Kesche explaining his position and a letter from Major Wallace Brown responding to a request for advice about the situation 12 January 1915 - 25 January 1915,ITM2046869,DR25285,https://www.archivessearch.qld.gov.au/api/download_file/DR25285 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Queensland,A112,Chief Secretarys Department
Letter to the Premier of Queensland from Major for Commandant 1st Military District Headquarters Brisbane advising the arrival of 350 returned invalid soldiers 23 March 1918,ITM2107284,DR26141,https://www.archivessearch.qld.gov.au/api/download_file/DR26141 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,An/a,n/a
Letter to the Premier of Queensland from Mrs. W Owen about receiving assistance to change her working situation after her husband died in France 24 March 1918 to 28 March 1918,ITM2131414,DR26782,https://www.archivessearch.qld.gov.au/api/download_file/DR26782 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
Letter to the Premier of Queensland from Prime Minister Fisher acknowledging the formation of the Queensland War Council 15 October 1915,ITM1839188,DR24653,https://www.archivessearch.qld.gov.au/api/download_file/DR24653 ,S16753,Queensland War Council Miscellaneous Files,1910 to 1919,Queensland,A1674,Queensland War Council
Letter to the Premier of Queensland from Prime Minister W.M. Hughes seeking co-operation between State and Federal Works Departments about proposed buildings on each side of Anzac Square 18 March 1922,ITM2057092,DR25869,https://www.archivessearch.qld.gov.au/api/download_file/DR25869 ,S17925,Reserve Files,1920 to 1929,Brisbane City,A18,Lands Department
Letter to the Premier of Queensland from the Captain for Commandant 1st Military District Headquarters advising the arrival of returned soldiers by boat to Kennedy Wharf 21 May 1919,ITM2107281,DR26138,https://www.archivessearch.qld.gov.au/api/download_file/DR26138 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,An/a,n/a
Letter to the Premier of Queensland from the Major for  Commandant 1st Military District Headquarters advising the arrival of approximately 300 returned soldiers to Central Station 5 July 1919,ITM2107269,DR26126,https://www.archivessearch.qld.gov.au/api/download_file/DR26126,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,An/a,n/a
Letter to the Premier of Queensland from the Major for  Commandant 1st Military District Headquarters advising the arrival of returned soldiers to Kangaroo Point 27 April 1919,ITM2107282,DR26139,https://www.archivessearch.qld.gov.au/api/download_file/DR26139 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,An/a,n/a
Letter to the Premier of Queensland from the Major SOI and R Soldiers 1st Military District Headquarters Brisbane advising the arrival of returned invalid soldiers and Anzacs 20 December 1918,ITM2107283,DR26140,https://www.archivessearch.qld.gov.au/api/download_file/DR26140 ,S5384,Batch and Miscellaneous Subject Files,1910 to 1919,Brisbane City,An/a,n/a
Letter to the Premier of Queensland from the Premier of NSW about the resolution passed at the Conference of Premiers concerning the Surplus Revenue Act Repayment to States 15 January 1917 to 24 January 1917,ITM2125346,DR26735,https://www.archivessearch.qld.gov.au/api/download_file/DR26735 ,S5402,Inwards and General Correspondence,1910 to 1919,Queensland,A112,Chief Secretarys Department
