Item ID,Description,Start date,End date,Series ID,Series,Source
794202,"HOLY NAME Convent School, TOOWOOMBA",1970-11-18,1970-11-23,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794202
794203,"HOLY NAME Convent School, TOOWOOMBA",1971-02-08,1971-04-08,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794203
794204,"HOLY ROSARY Convent School, WINDSOR",1969-05-08,1969-07-08,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794204
794205,"HOLY SPIRIT Convent School, KEPNOCK",1972-12-10,1972-10-13,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794205
794206,"HOLY SPIRIT Convent School, KEPNOCK",1970-08-10,1970-09-10,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794206
794207,"HOLY SPIRIT PRIMARY, CRANBROOK",1971-07-19,1971-07-20,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794207
794208,"HOLY SPIRIT School, NEW FARM",1970-12-11,1970-11-13,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794208
794209,"HOLY SPIRIT School, NEW FARM",1972-02-21,1972-02-23,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794209
794210,HOME HILL State School,1971-09-13,1971-09-17,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794210
794211,HOME HILL State School,1972-03-21,1972-03-24,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794211
794212,HOMEBUSH State School,1972-06-23,1972-06-23,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794212
794213,HOMEBUSH State School,1973-12-06,1973-12-06,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794213
794214,HOMESTEAD State School,1970-07-29,1970-07-29,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794214
794215,HOMESTEAD State School,1971-07-06,1971-07-06,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794215
794216,HOMESTEAD State School,1972-04-19,1972-04-19,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794216
794217,HOMESTEAD State School,1973-12-04,1973-12-04,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794217
794218,HOPELAND State School,1970-03-17,1970-03-18,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794218
794219,HOPELAND State School,1973-03-28,1973-03-29,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794219
794220,Hope Vale State School,1970-11-09,1970-11-09,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794220
794221,HOWARD State School,1971-09-22,1971-09-23,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794221
794222,HOWARD State School,1972-03-15,1972-03-16,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794222
794223,HUGHENDEN State School,1885-01-01,1900-12-31,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794223
794224,HUGHENDEN State School,1970-06-30,1970-01-07,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794224
794225,HUGHENDEN State School,1972-11-27,1972-11-29,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794225
794226,HUGHENDEN State School,1973-06-25,1973-06-28,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794226
794227,HUGHENDEN State School Secondary Department,1970-05-27,1970-05-28,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794227
794228,HUMPYBONG State School,1971-11-16,1971-11-24,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794228
794229,HUMPYBONG INFANTS State School,1970-03-03,1970-06-03,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794229
794230,HUMPYBONG INFANTS State School,1971-03-23,1971-03-25,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794230
794231,HUMPYBONG INFANTS State School,1973-05-29,1973-05-31,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794231
794232,ILFRACOMBE State School,1970-03-18,1970-03-18,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794232
794233,ILFRACOMBE State School,1971-04-15,1971-04-15,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794233
794234,ILFRACOMBE State School,1972-09-03,1972-09-03,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794234
794235,ILFRACOMBE State School,1973-03-21,1973-03-21,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794235
794236,IMBIL State School,1970-03-23,1970-03-25,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794236
794237,IMBIL State School,1973-02-10,1973-03-10,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794237
794238,IMBIL State School Secondary Department,1971-11-17,1971-11-17,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794238
794239,"IMMACULATE HEART Convent School, LEICHHARDT, IPSWICH",1970-11-17,1970-11-17,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794239
794240,"IMMACULATE HEART OF MARY Convent School, MARIAN",1970-02-04,1970-03-04,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794240
